number,kind,state,merged,topic,created,labels,title,s1_top,status,p_status,status_second,p_status_second,tested,p_tested,priority,priority_score,priority_raw,evidence,batch,state_chars
2,issue,closed,,other,2015-03-11,enhancement,Add CocoaPods support,build_packaging_env,not_applicable,0.86,still_applicable,0.13,False,0.03,Routine,0.02,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",CHANGELOG.md:3,s2a-batch-14,25197
3,issue,closed,,engine_transport,2015-03-11,enhancement,Maybe use Starscream instead ?,feature_request,not_applicable,0.98,already_addressed,0.02,False,0.03,Routine,0.02,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",README.md:5,s2a-batch-08,29335
5,issue,closed,,api_config,2015-03-11,,Objective-C support,feature_request,not_applicable,0.98,already_addressed,0.01,False,0.03,Routine,0.03,"{""0"": 0.98, ""1"": 0.02, ""2"": 0, ""3"": 0}",CHANGELOG.md:150,s2a-batch-03,17608
12,issue,closed,,api_config,2015-03-15,enhancement|patched,Actual logging option,feature_request,already_addressed,1,matches_js_client,0,True,0.82,Routine,0.05,"{""0"": 0.96, ""1"": 0.04, ""2"": 0, ""3"": 0}",Source/SocketIO/Util/SocketLogger.swift:28,s2a-batch-03,17608
17,issue,closed,,api_config,2015-03-17,enhancement|patched,authorization query,feature_request,already_addressed,0.77,matches_js_client,0.22,True,0.91,Routine,0.19,"{""0"": 0.83, ""1"": 0.16, ""2"": 0.01, ""3"": 0}",Tests/TestSocketIO/SocketQueryOptionTest.swift:30,s2a-batch-03,17608
18,pr,closed,no,ack,2015-03-18,,updated parsing to better handle acks,pr_functional,already_addressed,0.99,not_applicable,0.01,False,0.42,Routine,0.47,"{""0"": 0.66, ""1"": 0.24, ""2"": 0.08, ""3"": 0.02}",Source/SocketIO/Parse/SocketParsable.swift:158,s2a-batch-01,23628
22,issue,closed,,other,2015-03-19,on hold,"Event on ""connect"" not called",defect_current,matches_js_client,0.71,already_addressed,0.14,False,0.04,Important,0.88,"{""0"": 0.3, ""1"": 0.53, ""2"": 0.16, ""3"": 0.01}",Source/SocketIO/Client/SocketIOClient.swift:526,s2a-batch-14,25197
25,issue,closed,,api_config,2015-03-24,enhancement|patched,Remove event handler function missing,feature_request,already_addressed,1,matches_js_client,0,True,0.93,Routine,0.37,"{""0"": 0.66, ""1"": 0.32, ""2"": 0.02, ""3"": 0}",Source/SocketIO/Client/SocketIOClientSpec.swift:245,s2a-batch-03,17608
28,pr,closed,no,other,2015-03-26,,Carthage Support,build_packaging_env,not_applicable,0.74,still_applicable,0.24,False,0.03,Routine,0.02,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",CHANGELOG.md:3,s2a-batch-14,25197
36,issue,closed,,engine_transport,2015-03-27,bug|patched,Client connecting multiple times  when proxied through nginx,defect_fixed_or_obsolete,already_addressed,0.64,matches_js_client,0.33,False,0.04,Important,1.24,"{""0"": 0.08, ""1"": 0.6, ""2"": 0.31, ""3"": 0.01}",CHANGELOG.md:85,s2a-batch-08,29335
