id,package,scope,file,line,suite,title,modifier,conditional_or_parameterized,status,swift_tests,review_note,upstream_sha
JS-014,socket.io-client,runtime-declaration,packages/socket.io-client/test/connection.ts,160,connection,should reconnect by default,,False,focused-regression,SocketReconnectEventsTest.testReconnectFiresOnSuccessWithTheAttemptNumberBeforeConnect; SocketReconnectEventsTest.testTransportDropReportsTheRealReasonAsDisconnect,"Ported 2026-09-18 (round 2): .reconnect now means a successful reconnection and carries the 1-based attempt number, like JS onreconnect(); the drop itself reports .disconnect with the real reason.",aaf2af36ec8ad05910f357a788e0e358bad32738
JS-016,socket.io-client,runtime-declaration,packages/socket.io-client/test/connection.ts,191,connection,should reconnect automatically after reconnecting manually,,False,candidate-existing-test,JSParityE2ETest.testReconnectAutomaticallyAfterReconnectingManually,"Historical PARITY.md pointer, not a newly certified identical assertion set. Duplicate titles retain all old candidates.",aaf2af36ec8ad05910f357a788e0e358bad32738
JS-017,socket.io-client,runtime-declaration,packages/socket.io-client/test/connection.ts,211,connection,should attempt reconnects after a failed reconnect,,False,focused-regression,SocketReconnectEventsTest.testANewCycleStartedFromTheReconnectFailedHandlerGetsAFreshBudget; JSParityE2ETest.testAttemptReconnectsAfterAFailedReconnect; SocketConnectTimeoutTest.testAFailedReconnectCycleCanBeStartedAgain,Ported 2026-09-18 (round 2): a connect() from the .reconnectFailed handler starts a cycle with a fresh attempt budget.,aaf2af36ec8ad05910f357a788e0e358bad32738
JS-018,socket.io-client,runtime-declaration,packages/socket.io-client/test/connection.ts,238,connection,reconnect delay should increase every time,,False,candidate-existing-test,"exponential backoff, SocketMangerTest","Historical PARITY.md pointer, not a newly certified identical assertion set. Duplicate titles retain all old candidates.",aaf2af36ec8ad05910f357a788e0e358bad32738
JS-019,socket.io-client,runtime-declaration,packages/socket.io-client/test/connection.ts,276,connection,should not reconnect when force closed,,False,candidate-existing-test,testNoReconnectWhenForceClosedDuringTimeout,"Historical PARITY.md pointer, not a newly certified identical assertion set. Duplicate titles retain all old candidates.",aaf2af36ec8ad05910f357a788e0e358bad32738
JS-020,socket.io-client,runtime-declaration,packages/socket.io-client/test/connection.ts,296,connection,should stop reconnecting when force closed,,False,candidate-existing-test,testStopReconnectingWhenForceClosed,"Historical PARITY.md pointer, not a newly certified identical assertion set. Duplicate titles retain all old candidates.",aaf2af36ec8ad05910f357a788e0e358bad32738
JS-021,socket.io-client,runtime-declaration,packages/socket.io-client/test/connection.ts,316,connection,should reconnect after stopping reconnection,,False,candidate-existing-test,testReconnectAfterStoppingReconnection,"Historical PARITY.md pointer, not a newly certified identical assertion set. Duplicate titles retain all old candidates.",aaf2af36ec8ad05910f357a788e0e358bad32738
JS-022,socket.io-client,runtime-declaration,packages/socket.io-client/test/connection.ts,334,connection,should stop reconnecting on a socket and keep to reconnect on another,,False,candidate-existing-test,testStopReconnectingOnOneSocketButNotTheOther,"Historical PARITY.md pointer, not a newly certified identical assertion set. Duplicate titles retain all old candidates.",aaf2af36ec8ad05910f357a788e0e358bad32738
JS-023,socket.io-client,runtime-declaration,packages/socket.io-client/test/connection.ts,362,connection,should try to reconnect twice and fail when requested two attempts with immediate timeout and reconnect enabled,,False,focused-regression,JSParityE2ETest.testReconnectTwiceThenFailWithImmediateTimeout,"Ported 2026-09-18 (round 2): two attempts then .reconnectFailed; the Swift-only .disconnect(""Reconnect Failed"") is gone.",aaf2af36ec8ad05910f357a788e0e358bad32738
JS-024,socket.io-client,runtime-declaration,packages/socket.io-client/test/connection.ts,389,connection,should fire reconnect_* events on manager,,False,focused-regression,SocketReconnectEventsTest.testFiresReconnectEventsOnEverySocketOfTheManager; SocketReconnectEventsTest.testEveryFailedAttemptFiresReconnectErrorWithTheReason; SocketConnectTimeoutTest.testTimeoutStartsReconnectLoop,Ported 2026-09-18 (round 2): reconnect_attempt/reconnect_error/reconnect_failed are emitted on every socket of the manager (Swift has no manager-level event bus); exactly two attempts for reconnectAttempts(2).,aaf2af36ec8ad05910f357a788e0e358bad32738
