number,kind,state,state_reason,merged,labels,created,title,top,p_top,second,p_second
1,pr,closed,,yes,,2015-03-05,Polling,pr_functional,0.75,insufficient_evidence,0.2
2,issue,closed,completed,,enhancement,2015-03-11,Add CocoaPods support,build_packaging_env,0.54,feature_request,0.45
3,issue,closed,completed,,enhancement,2015-03-11,Maybe use Starscream instead ?,feature_request,0.91,support_question,0.04
4,pr,closed,,no,,2015-03-11,Add CocoaPods podspec,build_packaging_env,0.83,pr_non_functional,0.14
5,issue,closed,completed,,,2015-03-11,Objective-C support,feature_request,0.6,defect_fixed_or_obsolete,0.34
6,pr,closed,,yes,,2015-03-11,1.2,pr_functional,0.63,insufficient_evidence,0.2
7,pr,closed,,yes,,2015-03-12,CocoaPods podspec for v1.1.0,build_packaging_env,0.76,pr_non_functional,0.24
8,pr,closed,,yes,,2015-03-12,[README] add CocoaPods in Installation section,pr_non_functional,0.99,docs_gap,0.01
9,pr,closed,,yes,,2015-03-12,merge master,pr_functional,0.78,insufficient_evidence,0.19
10,issue,closed,completed,,,2015-03-14,doPoll: Assertion Failed,defect_fixed_or_obsolete,0.97,defect_current,0.03
11,issue,closed,completed,,bug|patched,2015-03-15,"Allow . to match any character, including line separators.",defect_fixed_or_obsolete,0.82,defect_current,0.16
12,issue,closed,completed,,enhancement|patched,2015-03-15,Actual logging option,feature_request,0.97,defect_fixed_or_obsolete,0.02
13,issue,closed,completed,,bug|patched,2015-03-15,Unicode in polling,defect_fixed_or_obsolete,0.75,insufficient_evidence,0.14
14,issue,closed,completed,,,2015-03-16,Swift 1.2 PodSpec branch.,support_question,0.6900000000000001,build_packaging_env,0.29
15,pr,closed,,no,,2015-03-16,changing the branch for pod installation.,build_packaging_env,0.65,pr_non_functional,0.3
16,issue,closed,completed,,bug|patched,2015-03-16,Timed out acks aren't removed from ackHandlers,defect_fixed_or_obsolete,0.75,defect_current,0.14
17,issue,closed,completed,,enhancement|patched,2015-03-17,authorization query,feature_request,0.93,defect_fixed_or_obsolete,0.04
18,pr,closed,,no,,2015-03-18,updated parsing to better handle acks,pr_functional,0.56,defect_fixed_or_obsolete,0.18
19,issue,closed,completed,,,2015-03-18,Error parsing message: 1,support_question,0.86,defect_fixed_or_obsolete,0.09
20,issue,closed,completed,,bug|enhancement|patched,2015-03-18,Handle disconnect event,defect_fixed_or_obsolete,0.51,duplicate_invalid_spam,0.19
21,pr,closed,,yes,,2015-03-18,Parsing,pr_functional,0.76,defect_fixed_or_obsolete,0.15
22,issue,closed,completed,,on hold,2015-03-19,"Event on ""connect"" not called",defect_current,0.76,defect_fixed_or_obsolete,0.11
23,pr,closed,,yes,,2015-03-21,Performance,pr_functional,0.94,insufficient_evidence,0.05
24,pr,closed,,yes,,2015-03-22,refactor,pr_functional,0.72,insufficient_evidence,0.23
25,issue,closed,completed,,enhancement|patched,2015-03-24,Remove event handler function missing,feature_request,0.97,defect_fixed_or_obsolete,0.02
26,issue,closed,completed,,,2015-03-26,Support for Rooms?,support_question,0.74,feature_request,0.26
27,issue,closed,completed,,bug|patched,2015-03-26,obj-c  interface,defect_fixed_or_obsolete,0.64,defect_current,0.29
28,pr,closed,,no,,2015-03-26,Carthage Support,build_packaging_env,0.5700000000000001,pr_functional,0.3
29,issue,closed,completed,,unconfirmed,2015-03-26,SocketEngine.swift:470. EXC_BAD_ACCESS,defect_fixed_or_obsolete,0.63,defect_current,0.32
30,issue,closed,completed,,,2015-03-26,WebSocket.swift:602. EXC_BAD_ACCESS KERN_INVALID_ADDRESS (Crashed: engineHandleQueue),duplicate_invalid_spam,0.65,defect_fixed_or_obsolete,0.21
31,issue,closed,completed,,,2015-03-26,WebSocket.swift:283. EXC_BAD_ACCESS KERN_INVALID_ADDRESS (Crashed: engineHandleQueue),duplicate_invalid_spam,0.4,defect_fixed_or_obsolete,0.33
32,issue,closed,completed,,,2015-03-26,Basic client crashes when connected with namespace nsp option,defect_fixed_or_obsolete,0.81,support_question,0.13
33,issue,closed,completed,,,2015-03-26,How to pass data to emitObjc?,support_question,1,defect_current,0
34,issue,closed,completed,,,2015-03-27,Swift Compiler Error,build_packaging_env,0.63,defect_fixed_or_obsolete,0.36
35,issue,closed,completed,,,2015-03-27,Swift Compiler error,defect_fixed_or_obsolete,0.63,build_packaging_env,0.37
36,issue,closed,completed,,bug|patched,2015-03-27,Client connecting multiple times  when proxied through nginx,defect_fixed_or_obsolete,0.56,defect_current,0.23
37,issue,closed,completed,,enhancement|patched,2015-03-28,onAny in Objective-C,support_question,0.93,docs_gap,0.04
38,issue,closed,completed,,enhancement|need input,2015-03-29,Rework Objective-C API,feature_request,0.98,insufficient_evidence,0.01
39,issue,closed,completed,,unconfirmed,2015-03-31,"on @""connect"" is not emitted",support_question,0.8,defect_fixed_or_obsolete,0.17
40,pr,closed,,yes,,2015-04-01,Betterreadme,pr_non_functional,0.6,pr_functional,0.23
41,issue,closed,completed,,,2015-04-02,namespace(nsp) format is wrong,support_question,0.8,defect_fixed_or_obsolete,0.16
42,issue,closed,completed,,,2015-04-02,"Endless loop while namespace is ""/""",defect_fixed_or_obsolete,0.94,defect_current,0.05
43,issue,closed,completed,,bug|patched,2015-04-02,Problem with emitWithAck being called consecutively,defect_fixed_or_obsolete,0.94,defect_current,0.06
44,pr,closed,,yes,,2015-04-03,Redoacks,pr_functional,0.6,defect_fixed_or_obsolete,0.36
45,issue,closed,completed,,enhancement|patched,2015-04-07,emit error event when the socket is denied by the server.,defect_fixed_or_obsolete,0.52,feature_request,0.47
46,issue,closed,completed,,bug|patched,2015-04-07,Capture self in acknowledgement callback,defect_fixed_or_obsolete,0.69,support_question,0.28
